dataset,query_id,draw_id,dense_residual_norm,dense_angle_degrees,sparse_support_equal,sparse_support_retention,sparse_missing_documents,sparse_top20_overlap,sparse_top20_turnover,sparse_top100_overlap,sparse_relevant_rr_delta,sparse_relevant_mean_rank_gain,sparse_ranked_relevant_documents,dense_only_delta_ndcg,dense_only_delta_recall,dense_only_dense_depth_reduction_pct,dense_only_sparse_depth_reduction_pct,sparse_only_delta_ndcg,sparse_only_delta_recall,sparse_only_dense_depth_reduction_pct,sparse_only_sparse_depth_reduction_pct,proposed_delta_ndcg,proposed_delta_recall,proposed_dense_depth_reduction_pct,proposed_sparse_depth_reduction_pct
nfcorpus,PLAIN-2600,1,0.3520492613315582,19.394579777619704,True,1.0,0,0.4,0.6,0.82,0.0103734827264239,7.0,5,0.0292175814091437,0.0,0.0,1.6949152542372836,0.019147702329656,0.0,-6.779661016949157,-6.779661016949157,0.024684139323829,0.0,37.28813559322034,37.28813559322034
nfcorpus,PLAIN-2600,2,0.3842607736587524,21.01980947337776,True,1.0,0,0.4,0.6,0.85,0.0103057136833227,6.0,5,0.0292175814091437,0.0,0.0,1.6949152542372836,0.021513937290621,0.0,-1.6949152542372836,-1.6949152542372836,0.003170202033208,0.0,32.20338983050848,32.20338983050848
nfcorpus,PLAIN-2610,0,0.2871296405792236,16.020341407420254,True,1.0,0,0.55,0.4499999999999999,0.8,-4.3318155131102274e-05,76.70370370370371,27,0.0816890823792068,0.0163934426229508,26.027397260273975,26.146788990825687,-0.0142696836402417,0.0163934426229508,50.68493150684932,50.917431192660544,0.0903509181387615,0.0327868852459016,54.7945205479452,55.04587155963303
nfcorpus,PLAIN-2610,1,0.2517947256565094,14.132983893483056,True,1.0,0,0.65,0.35,0.76,0.0057011281643902,64.88888888888889,27,0.0816890823792068,0.0,20.547945205479454,20.642201834862384,-0.0365046209043514,0.0163934426229508,60.73059360730594,60.55045871559632,0.0989912817514416,0.0327868852459016,63.01369863013699,62.84403669724771
nfcorpus,PLAIN-2610,2,0.2681715786457062,15.011887592250968,True,1.0,0,0.55,0.4499999999999999,0.77,0.000845113911904,76.66666666666667,27,0.0567863168717877,0.0163934426229508,22.374429223744297,22.47706422018349,-0.0103369834776589,0.0,53.88127853881279,53.669724770642205,-0.0165179665278902,0.0327868852459016,65.75342465753424,65.59633027522935
nfcorpus,PLAIN-2620,0,0.2660844624042511,14.900269448230707,True,1.0,0,0.8,0.1999999999999999,0.8,0.0019704207411035,108.16,50,0.0998206321600743,0.0181818181818181,5.633802816901412,5.633802816901412,-0.0228539910767259,-0.0181818181818181,11.737089201877938,11.737089201877938,0.1048549790393896,0.0181818181818181,30.516431924882625,30.516431924882625
nfcorpus,PLAIN-2620,1,0.2715227901935577,15.1908650561681,True,1.0,0,0.8,0.1999999999999999,0.67,0.0016846141063961,126.74,50,0.197639194959221,0.0181818181818181,7.981220657277,7.981220657277,0.0392039965079666,-0.0181818181818181,23.943661971830988,23.943661971830988,0.2040693594445076,0.0181818181818181,36.61971830985915,36.61971830985915
nfcorpus,PLAIN-2620,2,0.2506899237632751,14.073441866281966,True,1.0,0,0.75,0.25,0.77,0.0024180014989466,109.14,50,0.109071741737495,0.0363636363636363,-2.8169014084507005,-2.8169014084507005,0.0138269418619361,-0.0181818181818181,17.370892018779337,17.370892018779337,0.1083541238175554,0.0181818181818181,34.27230046948356,34.27230046948356
nfcorpus,PLAIN-2630,0,0.2372991889715194,13.349326665460351,True,1.0,0,0.9,0.0999999999999999,0.96,0.0146472915573464,3.928571428571429,14,0.0089670470418982,0.0,18.666666666666664,18.918918918918916,0.0186122937698278,0.0,5.333333333333334,5.405405405405405,0.0089670470418982,0.0,12.0,12.16216216216216
nfcorpus,PLAIN-2630,1,0.2373226135969162,13.350597243187549,True,1.0,0,0.9,0.0999999999999999,0.97,0.017293093455789,4.857142857142857,14,-0.0031769984823881,0.0,21.333333333333336,21.62162162162162,0.0186122937698278,-0.0208333333333333,5.333333333333334,5.405405405405405,0.0089670470418982,-0.0208333333333333,18.666666666666664,18.918918918918916
nfcorpus,PLAIN-2630,2,0.2374969869852066,13.360055029271429,True,1.0,0,0.9,0.0999999999999999,0.96,0.0163983914547355,2.2142857142857144,14,-0.0097431339004082,0.0,24.0,24.32432432432432,0.0186122937698278,-0.0208333333333333,5.333333333333334,5.405405405405405,0.0089670470418982,0.0,17.333333333333336,16.216216216216218
nfcorpus,PLAIN-2640,0,0.2819275259971618,15.744605269570902,True,1.0,0,0.9,0.0999999999999999,0.95,0.0034382587540825,17.285714285714285,35,-0.0235151998185877,0.0208333333333333,1.49253731343284,1.5151515151515138,-0.0221462367584597,0.0416666666666666,-5.970149253731338,-6.060606060606055,-0.0235151998185877,0.0416666666666666,-4.477611940298498,-4.545454545454541
nfcorpus,PLAIN-2640,1,0.2664395272731781,14.9192663711312,True,1.0,0,0.8,0.1999999999999999,0.89,0.0041885940145562,15.2,35,-0.0221462367584597,0.0208333333333333,-11.940298507462677,-12.12121212121211,0.0,0.0416666666666666,5.970149253731338,6.060606060606055,-0.001368963060128,0.0416666666666666,13.432835820895528,13.636363636363637
nfcorpus,PLAIN-2640,2,0.2845012247562408,15.881117587968006,True,1.0,0,0.9,0.0999999999999999,0.94,0.0031811084502467,9.8,35,-0.0221462367584597,0.0208333333333333,-11.940298507462677,-12.12121212121211,0.0,0.0416666666666666,-1.49253731343284,-1.5151515151515138,-0.001368963060128,0.0416666666666666,2.985074626865669,3.0303030303030276
