dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
scidocs,controlled,primary,bridge_shared,5,60,200,0.19045133345131182,0.27755555555555556,0.818
scidocs,controlled,primary,bridge_shared,5,60,500,0.19045892412360121,0.2790222222222222,0.9373333333333334
scidocs,controlled,primary,bridge_shared,5,60,1000,0.19045892412360121,0.2788888888888889,0.9636666666666667
scidocs,controlled,primary,dense_only,5,60,10,0.19535088658528674,0.2545555555555556,0.0
scidocs,controlled,primary,dense_only,5,60,20,0.19453249772169254,0.2760722222222222,0.0
scidocs,controlled,primary,dense_only,5,60,50,0.1947061580984259,0.2737666666666667,0.10633333333333334
scidocs,controlled,primary,dense_only,5,60,100,0.19357017538969867,0.2716166666666667,0.45166666666666666
scidocs,controlled,primary,dense_only,5,60,200,0.19367133342031734,0.27308333333333334,0.721
scidocs,controlled,primary,dense_only,5,60,500,0.19381545731229932,0.2753388888888889,0.882
scidocs,controlled,primary,dense_only,5,60,1000,0.19377249940156963,0.27540555555555557,0.934
scidocs,controlled,primary,mugi_controlled,5,60,10,0.19124874687467744,0.25631111111111116,0.0
scidocs,controlled,primary,mugi_controlled,5,60,20,0.18912606294667392,0.27941666666666665,0.0
scidocs,controlled,primary,mugi_controlled,5,60,50,0.18903453348555235,0.27569444444444446,0.125
scidocs,controlled,primary,mugi_controlled,5,60,100,0.18877994566911924,0.27206111111111114,0.5153333333333333
