dataset,track,condition_id,method,reference_count,rrf_constant,top_l,ndcg_at_10,recall_at_20,complete_top20_exact_rate
scidocs,controlled,primary,mugi_controlled,5,60,200,0.18905138524111267,0.27584444444444445,0.8033333333333333
scidocs,controlled,primary,mugi_controlled,5,60,500,0.18909626173212327,0.27679444444444445,0.931
scidocs,controlled,primary,mugi_controlled,5,60,1000,0.18909626173212327,0.2768611111111111,0.9613333333333334
scidocs,controlled,primary,original,5,60,10,0.19428818714856402,0.25060000000000004,0.0
scidocs,controlled,primary,original,5,60,20,0.19530004848248886,0.2716,0.0
scidocs,controlled,primary,original,5,60,50,0.1927102840404513,0.26793333333333336,0.098
scidocs,controlled,primary,original,5,60,100,0.1922069395626882,0.26761666666666667,0.419
scidocs,controlled,primary,original,5,60,200,0.1924904417257351,0.2707333333333333,0.708
scidocs,controlled,primary,original,5,60,500,0.1924388107621005,0.2718833333333333,0.874
scidocs,controlled,primary,original,5,60,1000,0.19244081292219956,0.27208333333333334,0.934
scidocs,controlled,primary,proposed,5,60,10,0.1968529446613304,0.2556555555555556,0.0
scidocs,controlled,primary,proposed,5,60,20,0.19532968085457986,0.2778777777777778,0.0
scidocs,controlled,primary,proposed,5,60,50,0.19405393207118257,0.2768777777777778,0.13633333333333333
scidocs,controlled,primary,proposed,5,60,100,0.19399561812365365,0.27461111111111114,0.5236666666666666
scidocs,controlled,primary,proposed,5,60,200,0.19403892756590876,0.27706111111111115,0.7986666666666666
scidocs,controlled,primary,proposed,5,60,500,0.19402400065621234,0.2784111111111111,0.9286666666666666
scidocs,controlled,primary,proposed,5,60,1000,0.19401707737062265,0.2788777777777778,0.956
scidocs,controlled,primary,sparse_boolean_mask,5,60,10,0.19322778323355377,0.25685,0.0
scidocs,controlled,primary,sparse_boolean_mask,5,60,20,0.18989255846775682,0.27992222222222224,0.0003333333333333333
scidocs,controlled,primary,sparse_boolean_mask,5,60,50,0.19040204867835286,0.2768277777777778,0.13266666666666665
scidocs,controlled,primary,sparse_boolean_mask,5,60,100,0.19011664201213618,0.2744611111111111,0.532
scidocs,controlled,primary,sparse_boolean_mask,5,60,200,0.1902400013318751,0.2768277777777778,0.8163333333333334
scidocs,controlled,primary,sparse_boolean_mask,5,60,500,0.19020922222051437,0.27844444444444444,0.9336666666666666
scidocs,controlled,primary,sparse_boolean_mask,5,60,1000,0.19017654245857057,0.2783777777777778,0.9643333333333334
scidocs,controlled,primary,sparse_only,5,60,10,0.1960200224432398,0.2525,0.0
scidocs,controlled,primary,sparse_only,5,60,20,0.1965820231562064,0.27293333333333336,0.0
scidocs,controlled,primary,sparse_only,5,60,50,0.19292513952345358,0.2734888888888889,0.12533333333333332
scidocs,controlled,primary,sparse_only,5,60,100,0.19358761741645228,0.2711055555555556,0.474
scidocs,controlled,primary,sparse_only,5,60,200,0.19387487601046677,0.2742611111111111,0.7756666666666666
