dataset,query_id,dense_angle_degrees,dense_residual_norm,sparse_top20_turnover,sparse_top100_overlap
arguana,test-economy-epehwmrbals-con02a,3.8482924490272956,0.06726754208405807,0.016666666666666666,0.9
arguana,test-economy-epehwmrbals-con03a,4.476868508680115,0.07829593867063517,0.06666666666666664,0.9166666666666666
arguana,test-economy-epehwmrbals-con04a,3.404181340518775,0.059484235942363704,0.06666666666666664,0.96
arguana,test-economy-epehwmrbals-pro01a,2.990349526780173,0.05223895857731497,0.05000000000000001,0.9333333333333332
arguana,test-economy-epehwmrbals-pro02a,3.0083279442214086,0.05255361149708426,0.0,0.9666666666666667
arguana,test-economy-epehwmrbals-pro03a,3.538797464605508,0.061843339353799764,0.016666666666666666,0.9166666666666666
arguana,test-economy-epehwmrbals-pro04a,3.448752542333189,0.0602649773160616,0.09999999999999991,0.9433333333333334
arguana,test-economy-epehwmrbals-pro05a,5.163756364400284,0.09036964426438006,0.0666666666666666,0.91
arguana,test-economy-epiasghbf-con01a,4.647744959655877,0.08129736036062236,0.09999999999999996,0.9333333333333332
arguana,test-economy-epiasghbf-con02a,3.237611446466557,0.05656730507810903,0.08333333333333326,0.9733333333333333
arguana,test-economy-epiasghbf-con03a,4.111422719103249,0.07188205420970913,0.04999999999999997,0.94
arguana,test-economy-epiasghbf-con04a,4.4747528618244985,0.0782586261630058,0.0666666666666666,0.94
arguana,test-economy-epiasghbf-pro01a,4.3381698506387325,0.07586105664571123,0.18333333333333332,0.9033333333333333
arguana,test-economy-epiasghbf-pro02a,2.7261970297512588,0.0476172156631946,0.14999999999999994,0.9199999999999999
arguana,test-economy-epiasghbf-pro03a,5.03677291183564,0.08813562492529547,0.016666666666666666,0.9166666666666666
arguana,test-economy-epsihbdns-con01a,4.518945610676738,0.0790345445275306,0.11666666666666659,0.9366666666666666
arguana,test-economy-epsihbdns-con02a,4.32422780790878,0.07561686138312017,0.09999999999999991,0.8366666666666666
arguana,test-economy-epsihbdns-con03a,4.249043042828072,0.07429606219132737,0.14999999999999994,0.8766666666666666
arguana,test-economy-epsihbdns-con04a,4.287148706261174,0.07496536771456397,0.08333333333333326,0.86
arguana,test-economy-epsihbdns-pro01a,4.615361732229185,0.0807304630676905,0.14999999999999994,0.8933333333333334
arguana,test-economy-epsihbdns-pro02a,3.760047745651064,0.0657195920745531,0.05000000000000001,0.8466666666666667
